cod_prov;[casos_acumulados]/[poblacion]*100000;Año de Fecha;Mes de Fecha;Día de Fecha;casos_acumulados;poblacion
El Oro;;2020;marzo;13;;715751
El Oro;;2020;marzo;14;;715751
El Oro;;2020;marzo;15;;715751
El Oro;;2020;marzo;16;;715751
El Oro;0,139713392;2020;marzo;17;1;715751
El Oro;0,139713392;2020;marzo;18;1;715751
El Oro;0,139713392;2020;marzo;19;1;715751
El Oro;0,279426784;2020;marzo;20;2;715751
El Oro;0,279426784;2020;marzo;21;2;715751
El Oro;0,838280352;2020;marzo;22;6;715751
El Oro;1,257420528;2020;marzo;23;9;715751
El Oro;1,955987487;2020;marzo;24;14;715751
El Oro;2,375127663;2020;marzo;25;17;715751
El Oro;2,794267839;2020;marzo;26;20;715751
El Oro;2,933981231;2020;marzo;27;21;715751
El Oro;3,213408015;2020;marzo;28;23;715751
El Oro;3,492834799;2020;marzo;29;25;715751
El Oro;4,191401758;2020;marzo;30;30;715751
El Oro;4,750255326;2020;marzo;31;34;715751
El Oro;7,265096381;2020;abril;1;52;715751
El Oro;7,823949949;2020;abril;2;56;715751
El Oro;7,823949949;2020;abril;3;56;715751
El Oro;7,823949949;2020;abril;4;56;715751
El Oro;7,823949949;2020;abril;5;56;715751
El Oro;8,103376733;2020;abril;6;58;715751
El Oro;8,103376733;2020;abril;7;58;715751
El Oro;11,456498140;2020;abril;8;82;715751
El Oro;13,552199019;2020;abril;9;97;715751
El Oro;19,140734697;2020;abril;10;137;715751
El Oro;20,817295400;2020;abril;11;149;715751
El Oro;20,957008792;2020;abril;12;150;715751
El Oro;22,354142712;2020;abril;13;160;715751
El Oro;23,192423063;2020;abril;14;166;715751
El Oro;25,567550726;2020;abril;15;183;715751
El Oro;26,964684646;2020;abril;16;193;715751
El Oro;28,920672133;2020;abril;17;207;715751
El Oro;34,509207811;2020;abril;18;247;715751
El Oro;35,906341731;2020;abril;19;257;715751
El Oro;37,163762258;2020;abril;20;266;715751
El Oro;38,560896178;2020;abril;21;276;715751
El Oro;40,377170273;2020;abril;22;289;715751
El Oro;41,914017584;2020;abril;23;300;715751
El Oro;66,643287959;2020;abril;24;477;715751
El Oro;;2020;abril;25;;715751
El Oro;;2020;abril;26;;715751
El Oro;45,686279167;2020;abril;27;327;715751
El Oro;62,591599593;2020;abril;28;448;715751
El Oro;63,849020120;2020;abril;29;457;715751
El Oro;66,224147783;2020;abril;30;474;715751
El Oro;78,099786099;2020;mayo;1;559;715751
El Oro;80,335200370;2020;mayo;2;575;715751
El Oro;87,181156575;2020;mayo;3;624;715751
El Oro;89,835711022;2020;mayo;4;643;715751
El Oro;87,740010143;2020;mayo;6;628;715751
El Oro;94,027112781;2020;mayo;7;673;715751
El Oro;91,093131550;2020;mayo;8;652;715751
El Oro;91,931411902;2020;mayo;9;658;715751
El Oro;93,887399389;2020;mayo;10;672;715751
El Oro;92,769692253;2020;mayo;11;664;715751
El Oro;98,777368107;2020;mayo;12;707;715751
El Oro;99,196508283;2020;mayo;13;710;715751
El Oro;100,034788635;2020;mayo;14;716;715751
El Oro;117,219535844;2020;mayo;15;839;715751
El Oro;126,720046497;2020;mayo;16;907;715751
El Oro;128,536320592;2020;mayo;17;920;715751
El Oro;130,632021471;2020;mayo;18;935;715751
El Oro;133,985142878;2020;mayo;19;959;715751
El Oro;136,360270541;2020;mayo;20;976;715751
El Oro;138,875111596;2020;mayo;21;994;715751
El Oro;140,272245516;2020;mayo;22;1004;715751
El Oro;142,088519611;2020;mayo;23;1017;715751
El Oro;143,206226746;2020;mayo;24;1025;715751
El Oro;145,162214234;2020;mayo;25;1039;715751
El Oro;146,699061545;2020;mayo;26;1050;715751
El Oro;146,838774937;2020;mayo;27;1051;715751
El Oro;148,375622249;2020;mayo;28;1062;715751
El Oro;148,934475816;2020;mayo;29;1066;715751
El Oro;152,008170439;2020;mayo;30;1088;715751
El Oro;152,846450791;2020;mayo;31;1094;715751
El Oro;163,045528403;2020;junio;1;1167;715751
El Oro;169,053204257;2020;junio;2;1210;715751
El Oro;169,472344433;2020;junio;3;1213;715751
El Oro;170,869478352;2020;junio;4;1223;715751
El Oro;178,553714909;2020;junio;5;1278;715751
El Oro;182,325976492;2020;junio;6;1305;715751
El Oro;182,884830060;2020;junio;7;1309;715751
El Oro;184,421677371;2020;junio;8;1320;715751
El Oro;184,840817547;2020;junio;9;1323;715751
El Oro;188,193938954;2020;junio;10;1347;715751
El Oro;192,804480888;2020;junio;11;1380;715751
El Oro;201,466711189;2020;junio;12;1442;715751
El Oro;208,033240610;2020;junio;13;1489;715751
El Oro;211,526075409;2020;junio;14;1514;715751
El Oro;219,908878926;2020;junio;15;1574;715751
El Oro;220,747159277;2020;junio;16;1580;715751
El Oro;222,842860157;2020;junio;17;1595;715751
El Oro;231,505090457;2020;junio;18;1657;715751
El Oro;243,520442165;2020;junio;19;1743;715751
El Oro;245,755856436;2020;junio;20;1759;715751
El Oro;250,086971586;2020;junio;21;1790;715751
El Oro;251,903245682;2020;junio;22;1803;715751
El Oro;253,859233169;2020;junio;23;1817;715751
El Oro;260,006622415;2020;junio;24;1861;715751
El Oro;262,940603646;2020;junio;25;1882;715751
El Oro;271,602833946;2020;junio;26;1944;715751
El Oro;276,073662489;2020;junio;27;1976;715751
El Oro;281,243057991;2020;junio;28;2013;715751
El Oro;281,801911559;2020;junio;29;2017;715751
El Oro;282,500478518;2020;junio;30;2022;715751
El Oro;285,294746357;2020;julio;1;2042;715751
El Oro;289,625861508;2020;julio;2;2073;715751
El Oro;298,288091808;2020;julio;3;2135;715751
El Oro;301,222073039;2020;julio;4;2156;715751
El Oro;303,597200702;2020;julio;5;2173;715751
El Oro;305,832614974;2020;julio;6;2189;715751
El Oro;306,251755149;2020;julio;7;2192;715751
El Oro;315,612552410;2020;julio;8;2259;715751
El Oro;318,267106857;2020;julio;9;2278;715751
El Oro;320,781947912;2020;julio;10;2296;715751
El Oro;325,392489846;2020;julio;11;2329;715751
El Oro;328,885324645;2020;julio;12;2354;715751
El Oro;336,150421026;2020;julio;13;2406;715751
El Oro;339,782969217;2020;julio;14;2432;715751
El Oro;341,599243312;2020;julio;15;2445;715751
El Oro;348,724626302;2020;julio;16;2496;715751
El Oro;360,460551225;2020;julio;17;2580;715751
El Oro;365,629946727;2020;julio;18;2617;715751
El Oro;366,887367255;2020;julio;19;2626;715751
El Oro;367,725647607;2020;julio;20;2632;715751
El Oro;382,674980545;2020;julio;21;2739;715751
El Oro;383,513260897;2020;julio;22;2745;715751
El Oro;385,329534992;2020;julio;23;2758;715751
El Oro;386,167815344;2020;julio;24;2764;715751
El Oro;402,234855418;2020;julio;25;2879;715751
El Oro;405,727690216;2020;julio;26;2904;715751
El Oro;408,242531271;2020;julio;27;2922;715751
El Oro;419,279889235;2020;julio;28;3001;715751
El Oro;427,802406144;2020;julio;29;3062;715751
El Oro;435,626356093;2020;julio;30;3118;715751
El Oro;444,428299786;2020;julio;31;3181;715751
El Oro;451,693396167;2020;agosto;1;3233;715751
El Oro;453,789097046;2020;agosto;2;3248;715751
El Oro;459,796772900;2020;agosto;3;3291;715751
El Oro;466,922155889;2020;agosto;4;3342;715751
El Oro;467,481009457;2020;agosto;5;3346;715751
El Oro;469,017856769;2020;agosto;6;3357;715751
El Oro;476,981520110;2020;agosto;7;3414;715751
El Oro;487,879164682;2020;agosto;8;3492;715751
El Oro;501,291650309;2020;agosto;9;3588;715751
El Oro;507,718466338;2020;agosto;10;3634;715751
El Oro;512,189294880;2020;agosto;11;3666;715751
El Oro;519,873531438;2020;agosto;12;3721;715751
El Oro;524,623786764;2020;agosto;13;3755;715751
El Oro;533,844870632;2020;agosto;14;3821;715751
El Oro;537,197992039;2020;agosto;15;3845;715751
El Oro;540,690826838;2020;agosto;16;3870;715751
El Oro;541,668820581;2020;agosto;17;3877;715751
El Oro;552,985605329;2020;agosto;18;3958;715751
El Oro;554,382739249;2020;agosto;19;3968;715751
El Oro;557,037293696;2020;agosto;20;3987;715751
El Oro;564,581816861;2020;agosto;21;4041;715751
El Oro;566,677517740;2020;agosto;22;4056;715751
El Oro;573,244047162;2020;agosto;23;4103;715751
El Oro;581,067997111;2020;agosto;24;4159;715751
El Oro;588,891947060;2020;agosto;25;4215;715751
El Oro;591,546501507;2020;agosto;26;4234;715751
El Oro;597,554177361;2020;agosto;27;4277;715751
El Oro;604,958987134;2020;agosto;28;4330;715751
El Oro;607,054688013;2020;agosto;29;4345;715751
El Oro;611,385803163;2020;agosto;30;4376;715751
El Oro;612,643223691;2020;agosto;31;4385;715751
El Oro;617,952332585;2020;septiembre;1;4423;715751
El Oro;623,680581655;2020;septiembre;2;4464;715751
El Oro;630,107397684;2020;septiembre;3;4510;715751
El Oro;637,093067282;2020;septiembre;4;4560;715751
El Oro;646,733291326;2020;septiembre;5;4629;715751
El Oro;657,630935898;2020;septiembre;6;4707;715751
El Oro;660,425203737;2020;septiembre;7;4727;715751
El Oro;664,337178712;2020;septiembre;8;4755;715751
El Oro;667,690300118;2020;septiembre;9;4779;715751
El Oro;681,382212529;2020;septiembre;10;4877;715751
El Oro;691,721003533;2020;septiembre;11;4951;715751
El Oro;696,331545468;2020;septiembre;12;4984;715751
El Oro;705,971769512;2020;septiembre;13;5053;715751
El Oro;710,023457879;2020;septiembre;14;5082;715751
El Oro;711,839731974;2020;septiembre;15;5095;715751
El Oro;716,310560516;2020;septiembre;16;5127;715751
El Oro;721,200529234;2020;septiembre;17;5162;715751
El Oro;727,347918480;2020;septiembre;18;5206;715751
El Oro;732,517313982;2020;septiembre;19;5243;715751
El Oro;737,267569308;2020;septiembre;20;5277;715751
El Oro;737,686709484;2020;septiembre;21;5280;715751
El Oro;739,782410363;2020;septiembre;22;5295;715751
El Oro;742,297251418;2020;septiembre;23;5313;715751
El Oro;745,231232649;2020;septiembre;24;5334;715751
El Oro;747,746073704;2020;septiembre;25;5352;715751
El Oro;750,400628151;2020;septiembre;26;5371;715751
El Oro;751,937475463;2020;septiembre;27;5382;715751
El Oro;752,216902247;2020;septiembre;28;5384;715751
El Oro;754,452316518;2020;septiembre;29;5400;715751
El Oro;771,637063727;2020;septiembre;30;5523;715751
El Oro;782,394994907;2020;octubre;1;5600;715751
El Oro;785,049549354;2020;octubre;2;5619;715751
El Oro;787,284963626;2020;octubre;3;5635;715751
El Oro;787,983530585;2020;octubre;4;5640;715751
El Oro;789,939518073;2020;octubre;5;5654;715751
El Oro;791,336651992;2020;octubre;6;5664;715751
El Oro;801,954869780;2020;octubre;7;5740;715751
El Oro;809,918533121;2020;octubre;8;5797;715751
El Oro;814,249648272;2020;octubre;9;5828;715751
El Oro;814,808501839;2020;octubre;10;5832;715751
El Oro;814,948215231;2020;octubre;11;5833;715751
El Oro;816,485062543;2020;octubre;12;5844;715751
El Oro;825,007579452;2020;octubre;13;5905;715751
El Oro;829,338694602;2020;octubre;14;5936;715751
El Oro;833,250669576;2020;octubre;15;5964;715751
El Oro;839,398058822;2020;octubre;16;6008;715751
El Oro;839,537772214;2020;octubre;17;6009;715751
El Oro;842,192326661;2020;octubre;18;6028;715751
El Oro;843,589460581;2020;octubre;19;6038;715751
El Oro;843,868887364;2020;octubre;20;6040;715751
El Oro;851,413410530;2020;octubre;21;6094;715751
El Oro;860,634494398;2020;octubre;22;6160;715751
El Oro;873,627839849;2020;octubre;23;6253;715751
El Oro;879,216375527;2020;octubre;24;6293;715751
El Oro;879,495802311;2020;octubre;25;6295;715751
El Oro;881,591503190;2020;octubre;26;6310;715751
El Oro;887,180038868;2020;octubre;27;6350;715751
El Oro;895,283415601;2020;octubre;28;6408;715751
El Oro;898,776250400;2020;octubre;29;6433;715751
El Oro;899,893957536;2020;octubre;30;6441;715751
El Oro;901,430804847;2020;octubre;31;6452;715751
El Oro;904,923639646;2020;noviembre;1;6477;715751
El Oro;905,761919997;2020;noviembre;2;6483;715751
El Oro;907,159053917;2020;noviembre;3;6493;715751
El Oro;907,717907485;2020;noviembre;4;6497;715751
El Oro;907,717907485;2020;noviembre;5;6497;715751
El Oro;907,717907485;2020;noviembre;6;6497;715751
El Oro;911,490169067;2020;noviembre;7;6524;715751
El Oro;918,894978840;2020;noviembre;8;6577;715751
El Oro;918,894978840;2020;noviembre;9;6577;715751
El Oro;922,806953815;2020;noviembre;10;6605;715751
El Oro;931,748610900;2020;noviembre;11;6669;715751
El Oro;936,918006402;2020;noviembre;12;6706;715751
El Oro;947,955364366;2020;noviembre;13;6785;715751
El Oro;955,919027707;2020;noviembre;14;6842;715751
El Oro;959,831002681;2020;noviembre;15;6870;715751
El Oro;960,110429465;2020;noviembre;16;6872;715751
El Oro;963,184124088;2020;noviembre;17;6894;715751
El Oro;969,471226725;2020;noviembre;18;6939;715751
El Oro;974,500908836;2020;noviembre;19;6975;715751
El Oro;977,015749891;2020;noviembre;20;6993;715751
El Oro;984,420559664;2020;noviembre;21;7046;715751
El Oro;988,192821246;2020;noviembre;22;7073;715751
El Oro;992,523936397;2020;noviembre;23;7104;715751
El Oro;993,781356924;2020;noviembre;24;7113;715751
El Oro;999,789032778;2020;noviembre;25;7156;715751
El Oro;1006,215848808;2020;noviembre;26;7202;715751
El Oro;1016,973779988;2020;noviembre;27;7279;715751
El Oro;1021,444608530;2020;noviembre;28;7311;715751
El Oro;1028,569991519;2020;noviembre;29;7362;715751
El Oro;1029,268558479;2020;noviembre;30;7367;715751
El Oro;1032,481966494;2020;diciembre;1;7390;715751
El Oro;1033,599673630;2020;diciembre;2;7398;715751
El Oro;1036,393941468;2020;diciembre;3;7418;715751
El Oro;1042,541330714;2020;diciembre;4;7462;715751
El Oro;1048,129866392;2020;diciembre;5;7502;715751
El Oro;1053,578688678;2020;diciembre;6;7541;715751
El Oro;1054,696395814;2020;diciembre;7;7549;715751
El Oro;1056,233243125;2020;diciembre;8;7560;715751
El Oro;1057,071523477;2020;diciembre;9;7566;715751
El Oro;1064,616046642;2020;diciembre;10;7620;715751
El Oro;1069,086875184;2020;diciembre;11;7652;715751
El Oro;1074,535697470;2020;diciembre;12;7691;715751
El Oro;1079,984519756;2020;diciembre;13;7730;715751
El Oro;1080,263946540;2020;diciembre;14;7732;715751
El Oro;1082,499360811;2020;diciembre;15;7748;715751
El Oro;1086,970189354;2020;diciembre;16;7780;715751
El Oro;1092,419011640;2020;diciembre;17;7819;715751
El Oro;1103,875509779;2020;diciembre;18;7901;715751
El Oro;1109,044905281;2020;diciembre;19;7938;715751
El Oro;1115,611434703;2020;diciembre;20;7985;715751
El Oro;1117,427708798;2020;diciembre;21;7998;715751
El Oro;1117,427708798;2020;diciembre;22;7998;715751
El Oro;1123,295671260;2020;diciembre;23;8040;715751
El Oro;1129,443060506;2020;diciembre;24;8084;715751
El Oro;1138,245004198;2020;diciembre;25;8147;715751
El Oro;1139,083284550;2020;diciembre;26;8153;715751
El Oro;1139,083284550;2020;diciembre;27;8153;715751
El Oro;1145,510100580;2020;diciembre;28;8199;715751
El Oro;1147,466088067;2020;diciembre;29;8213;715751
El Oro;1159,202012991;2020;diciembre;30;8297;715751
El Oro;1162,834561181;2020;diciembre;31;8323;715751
